latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.699997,-74.0,51.0,-14400,America/New_York,EDT

time,apparent_temperature (°C),rain (mm),snowfall (cm)
1388548800,-9.5,0.00,0.00
1388552400,-9.8,0.00,0.00
1388556000,-9.8,0.00,0.00
1388559600,-9.9,0.00,0.00
1388563200,-10.0,0.00,0.00
1388566800,-10.1,0.00,0.00
1388570400,-10.0,0.00,0.00
1388574000,-9.9,0.00,0.00
1388577600,-9.8,0.00,0.00
1388581200,-9.5,0.00,0.00
1388584800,-8.1,0.00,0.00
1388588400,-7.1,0.00,0.00
1388592000,-6.2,0.00,0.00
1388595600,-5.2,0.00,0.00
1388599200,-4.2,0.00,0.00
1388602800,-3.4,0.00,0.00
1388606400,-2.9,0.00,0.00
1388610000,-2.8,0.00,0.00
1388613600,-3.9,0.00,0.00
1388617200,-5.5,0.00,0.00
1388620800,-6.1,0.00,0.00
1388624400,-6.5,0.00,0.00
1388628000,-6.2,0.00,0.00
1388631600,-6.3,0.00,0.00
1388635200,-6.2,0.00,0.00
1388638800,-6.2,0.00,0.00
1388642400,-6.2,0.00,0.00
1388646000,-6.9,0.00,0.00
1388649600,-6.6,0.00,0.07
1388653200,-6.5,0.00,0.07
1388656800,-6.5,0.00,0.07
1388660400,-6.8,0.00,0.07
1388664000,-7.2,0.00,0.00
1388667600,-7.6,0.00,0.00
1388671200,-7.6,0.00,0.00
1388674800,-7.8,0.00,0.00
1388678400,-7.5,0.00,0.00
1388682000,-7.2,0.00,0.00
1388685600,-7.4,0.00,0.00
1388689200,-8.8,0.00,0.00
1388692800,-9.0,0.00,0.00
1388696400,-9.3,0.00,0.07
1388700000,-9.7,0.00,0.21
1388703600,-10.0,0.00,0.35
1388707200,-10.8,0.00,0.42
1388710800,-11.4,0.00,0.49
1388714400,-12.4,0.00,0.56
1388718000,-13.5,0.00,0.56
1388721600,-14.8,0.00,0.70
1388725200,-16.2,0.00,0.77
1388728800,-17.5,0.00,0.77
1388732400,-19.4,0.00,1.05
1388736000,-19.4,0.00,0.91
1388739600,-19.3,0.00,0.84
1388743200,-19.3,0.00,0.70
1388746800,-18.9,0.00,0.56
1388750400,-19.0,0.00,0.42
1388754000,-19.7,0.00,0.21
1388757600,-19.4,0.00,0.14
1388761200,-19.1,0.00,0.07
1388764800,-18.4,0.00,0.00
1388768400,-18.2,0.00,0.00
1388772000,-18.1,0.00,0.00
1388775600,-16.9,0.00,0.00
1388779200,-17.0,0.00,0.00
1388782800,-17.6,0.00,0.00
1388786400,-17.9,0.00,0.00
1388790000,-18.8,0.00,0.00
1388793600,-20.1,0.00,0.00
1388797200,-21.3,0.00,0.00
1388800800,-22.5,0.00,0.00
1388804400,-23.9,0.00,0.00
1388808000,-24.9,0.00,0.00
1388811600,-24.8,0.00,0.00
1388815200,-23.3,0.00,0.00
1388818800,-21.2,0.00,0.00
1388822400,-20.3,0.00,0.00
1388826000,-20.5,0.00,0.00
1388829600,-21.5,0.00,0.00
1388833200,-22.9,0.00,0.00
1388836800,-23.4,0.00,0.00
1388840400,-22.9,0.00,0.00
1388844000,-21.5,0.00,0.00
1388847600,-20.3,0.00,0.00
1388851200,-17.3,0.00,0.00
1388854800,-14.7,0.00,0.00
1388858400,-12.9,0.00,0.00
1388862000,-11.5,0.00,0.00
1388865600,-11.0,0.00,0.00
1388869200,-11.2,0.00,0.00
1388872800,-11.7,0.00,0.00
1388876400,-12.9,0.00,0.00
1388880000,-13.6,0.00,0.00
1388883600,-13.8,0.00,0.00
1388887200,-14.5,0.00,0.00
1388890800,-15.3,0.00,0.00
1388894400,-16.0,0.00,0.00
1388898000,-16.3,0.00,0.00
1388901600,-16.2,0.00,0.00
1388905200,-16.5,0.00,0.00
1388908800,-16.8,0.00,0.00
1388912400,-16.8,0.00,0.00
1388916000,-15.3,0.00,0.00
1388919600,-13.5,0.00,0.00
1388923200,-11.9,0.00,0.00
1388926800,-10.3,0.00,0.00
1388930400,-7.8,0.00,0.00
1388934000,-6.3,0.00,0.00
1388937600,-5.3,0.00,0.00
1388941200,-4.6,0.00,0.00
1388944800,-4.1,0.10,0.00
1388948400,-4.0,0.00,0.00
1388952000,-3.7,0.00,0.00
1388955600,-3.5,0.00,0.00
1388959200,-3.0,0.00,0.00
1388962800,-2.2,0.00,0.00
1388966400,-1.2,0.00,0.00
1388970000,0.4,0.00,0.00
1388973600,2.4,0.00,0.00
1388977200,3.6,0.00,0.00
1388980800,4.4,0.00,0.00
1388984400,4.8,0.70,0.00
