Year,Manufacturer,Model,barrels08,charge240,cityA08U,cityCD,cityE,cityUF,co2A,combA08U,combE,combinedCD,combinedUF,cylinders,feScore,fuelCostA08,fuelType2,ghgScoreA,highwayA08U,highwayCD,highwayE,highwayUF,id,phevBlended,charge240b
2017,Chrysler,200,11.01888889,0.0,16.0,0.0,0.0,0.0,309.0,20.0,0.0,0.0,0.0,4.0,6,2100.0,E85,7,26.0,0.0,0.0,0.0,38099,False,0.0
2017,Mercedes-Benz,CLA250 4matic,11.01888889,0.0,16.0,0.0,0.0,0.0,330.0,19.0,0.0,0.0,0.0,4.0,6,2200.0,E85,6,23.0,0.0,0.0,0.0,38196,False,0.0
2017,Ford,Focus FWD FFV,9.597096774,0.0,19.0,0.0,0.0,0.0,278.0,22.0,0.0,0.0,0.0,4.0,7,1800.0,E85,7,27.0,0.0,0.0,0.0,38474,False,0.0
2010,Chevrolet,Malibu,11.44269231,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,4.0,-1,2300.0,E85,-1,0.0,0.0,0.0,0.0,28631,False,0.0
2010,Saturn,Aura,11.44269231,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,4.0,-1,2300.0,E85,-1,0.0,0.0,0.0,0.0,28642,False,0.0
2010,Mercedes-Benz,C300,14.16714286,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,6.0,-1,2750.0,E85,-1,0.0,0.0,0.0,0.0,29398,False,0.0
2011,Bentley,Continental Flying Spur,22.88538462,0.0,7.0,0.0,0.0,0.0,-1.0,9.0,0.0,0.0,0.0,12.0,-1,4600.0,E85,-1,12.0,0.0,0.0,0.0,30358,False,0.0
2011,Ford,Fusion FWD FFV,12.93521739,0.0,13.0,0.0,0.0,0.0,-1.0,16.0,0.0,0.0,0.0,6.0,-1,2600.0,E85,-1,20.0,0.0,0.0,0.0,30376,False,0.0
2011,Buick,Regal,14.16714286,0.0,13.0,0.0,0.0,0.0,-1.0,15.0,0.0,0.0,0.0,4.0,-1,2600.0,E85,-1,20.0,0.0,0.0,0.0,31008,False,0.0
2011,Dodge,Avenger,13.52318182,0.0,13.0,0.0,0.0,0.0,-1.0,16.0,0.0,0.0,0.0,6.0,-1,2600.0,E85,-1,20.0,0.0,0.0,0.0,31015,False,0.0
2012,Saab,9-3 Sport Sedan,12.39625,0.0,15.0,0.0,0.0,0.0,-1.0,17.0,0.0,0.0,0.0,4.0,-1,2300.0,E85,-1,22.0,0.0,0.0,0.0,31355,False,0.0
2012,Saab,9-3 SportCombi,12.39625,0.0,15.0,0.0,0.0,0.0,-1.0,17.0,0.0,0.0,0.0,4.0,-1,2300.0,E85,-1,22.0,0.0,0.0,0.0,31422,False,0.0
2011,Saab,9-5 Sedan,14.16714286,0.0,13.0,0.0,0.0,0.0,-1.0,15.0,0.0,0.0,0.0,4.0,-1,2600.0,E85,-1,20.0,0.0,0.0,0.0,31547,False,0.0
2012,Saab,9-3 Convertible,14.16714286,0.0,13.0,0.0,0.0,0.0,-1.0,15.0,0.0,0.0,0.0,4.0,-1,2600.0,E85,-1,20.0,0.0,0.0,0.0,31573,False,0.0
2012,Mercedes-Benz,C300 4matic,14.8755,0.0,12.0,0.0,0.0,0.0,-1.0,14.0,0.0,0.0,0.0,6.0,-1,2750.0,E85,-1,18.0,0.0,0.0,0.0,31699,False,0.0
2012,Buick,LaCrosse,14.16714286,0.0,12.0,0.0,0.0,0.0,-1.0,14.0,0.0,0.0,0.0,6.0,-1,2750.0,E85,-1,18.0,0.0,0.0,0.0,32162,False,0.0
2013,Buick,Regal,12.39625,0.0,14.0,0.0,0.0,0.0,367.0,17.0,0.0,0.0,0.0,4.0,6,2450.0,E85,6,21.0,0.0,0.0,0.0,32537,False,0.0
2013,Buick,LaCrosse AWD,14.8755,0.0,12.0,0.0,0.0,0.0,446.0,14.0,0.0,0.0,0.0,6.0,5,2950.0,E85,4,17.0,0.0,0.0,0.0,32705,False,0.0
2013,Buick,Regal,12.93521739,0.0,14.0,0.0,0.0,0.0,364.0,17.0,0.0,0.0,0.0,4.0,6,2450.0,E85,6,21.0,0.0,0.0,0.0,32706,False,0.0
2013,Ford,Focus FWD FFV,10.25896552,0.0,19.0,0.0,0.0,0.0,288.0,21.0,0.0,0.0,0.0,4.0,8,1900.0,E85,8,25.0,0.0,0.0,0.0,32921,False,0.0
2013,Chrysler,200,13.52318182,0.0,13.0,0.0,0.0,0.0,382.0,16.0,0.0,0.0,0.0,6.0,5,2600.0,E85,6,20.0,0.0,0.0,0.0,32971,False,0.0
2013,Audi,A4 quattro,12.93521739,0.0,14.0,0.0,0.0,0.0,379.0,16.0,0.0,0.0,0.0,4.0,6,2600.0,E85,6,20.0,0.0,0.0,0.0,33152,False,0.0
2014,Ford,Focus FWD FFV,9.917,0.0,19.0,0.0,0.0,0.0,281.0,22.0,0.0,0.0,0.0,4.0,8,1900.0,E85,8,26.0,0.0,0.0,0.0,34002,False,0.0
2014,Dodge,Dart,11.01888889,0.0,16.0,0.0,0.0,0.0,327.0,18.0,0.0,0.0,0.0,4.0,7,2200.0,E85,7,23.0,0.0,0.0,0.0,34473,False,0.0
2015,Bentley,Flying Spur,21.25071429,0.0,8.0,0.0,0.0,0.0,629.0,10.0,0.0,0.0,0.0,12.0,2,4150.0,E85,2,14.0,0.0,0.0,0.0,34927,False,0.0
