REDC,County,Light-Duty Vehicles,BEVs on the Road,PHEVs on the Road,EVs on the Road,Level 2 Ports,DCFC Ports,LDVs per 1k People,BEVs per 1k People,PHEVs per 1k People,BEVS per DCFC Ports,EVs per Level 2 Port,LD EV Market Share (%)
New York City,Manhattan,136854.0,4747.0,2190.0,6937.0,1047.0,27.0,84.4,2.93,1.35,175.8148148148148,6.63,2.59
Mid-Hudson,Westchester County,389909.0,10098.0,4361.0,14459.0,368.0,109.0,402.91,10.43,4.51,92.6422018348624,39.29,1.85
Southern Tier,Tompkins County,36530.0,733.0,950.0,1683.0,73.0,11.0,354.59,7.12,9.22,66.63636363636364,23.05,1.67
Long Island,Nassau County,594841.0,13228.0,5337.0,18565.0,158.0,104.0,434.31,9.66,3.9,127.1923076923077,117.5,1.65
Out of State,Out of State,80286.0,3640.0,757.0,4397.0,0.0,0.0,,0.0,0.0,0.0,,1.64
New York City,Queens,474344.0,6903.0,4858.0,11761.0,292.0,70.0,207.38,3.02,2.12,98.61428571428571,40.28,1.34
New York City,Brooklyn,311455.0,4903.0,2244.0,7147.0,407.0,54.0,120.25,1.89,0.87,90.79629629629628,17.56,1.31
Long Island,Suffolk County,709023.0,10444.0,9087.0,19531.0,308.0,196.0,479.83,7.07,6.15,53.285714285714285,63.41,1.19
Mid-Hudson,Rockland County,127882.0,2053.0,955.0,3008.0,87.0,30.0,394.18,6.33,2.94,68.43333333333334,34.57,1.15
New York City,Staten Island,169198.0,2039.0,965.0,3004.0,77.0,16.0,356.29,4.29,2.03,127.4375,39.01,1.01
Capital Region,Albany County,125280.0,1458.0,1662.0,3120.0,830.0,40.0,435.36,5.07,5.78,36.44999999999997,3.76,0.84
Mid-Hudson,Ulster County,91025.0,1259.0,1007.0,2266.0,240.0,22.0,484.91,6.71,5.36,57.22727272727261,9.44,0.82
Capital Region,Schenectady County,79064.0,665.0,707.0,1372.0,333.0,15.0,457.36,3.85,4.09,44.333333333333336,4.12,0.71
Mid-Hudson,Dutchess County,140266.0,1696.0,1173.0,2869.0,160.0,37.0,473.36,5.72,3.96,45.83783783783785,17.93,0.68
Mid-Hudson,Putnam County,53174.0,646.0,416.0,1062.0,12.0,9.0,534.9,6.5,4.18,71.77777777777777,88.5,0.66
Capital Region,Warren County,37517.0,227.0,301.0,528.0,199.0,20.0,587.78,3.56,4.72,11.35,2.65,0.66
Finger Lakes,Monroe County,312515.0,3476.0,3338.0,6814.0,511.0,6.0,420.38,4.68,4.49,579.3333333333338,13.33,0.66
Capital Region,Columbia County,30806.0,377.0,321.0,698.0,71.0,8.0,530.28,6.49,5.53,47.12499999999998,9.83,0.6
Southern Tier,Broome County,78588.0,418.0,721.0,1139.0,70.0,25.0,398.3,2.12,3.65,16.72,16.27,0.6
New York City,Bronx,158998.0,1134.0,574.0,1708.0,73.0,12.0,110.51,0.79,0.4,94.5,23.4,0.57
North Country,Essex County,21035.0,134.0,153.0,287.0,108.0,16.0,577.85,3.68,4.2,8.375,2.66,0.55
Capital Region,Greene County,25470.0,163.0,185.0,348.0,40.0,5.0,527.81,3.38,3.83,32.60000000000001,8.7,0.55
Central New York,Onondaga County,204412.0,1335.0,1817.0,3152.0,361.0,43.0,445.7,2.91,3.96,31.046511627906924,8.73,0.54
