REDC,County,Light-Duty Vehicles,BEVs on the Road,PHEVs on the Road,EVs on the Road,Level 2 Ports,DCFC Ports,LDVs per 1k People,BEVs per 1k People,PHEVs per 1k People,BEVS per DCFC Ports,EVs per Level 2 Port,LD EV Market Share
New York City,New York County,136854,4747,2190,6937,1047,27,"84,40","2,93","1,35",175.8148148148148,"6,63","2,59%"
Mid-Hudson,Westchester County,389909,10098,4361,14459,368,109,"402,91","10,43","4,51",92.64220183486239,"39,29","1,85%"
Southern Tier,Tompkins County,36530,733,950,1683,73,11,"354,59","7,12","9,22",66.63636363636364,"23,05","1,67%"
Long Island,Nassau County,594841,13228,5337,18565,158,104,"434,31","9,66","3,90",127.1923076923077,"117,50","1,65%"
Out of State,Out of State,80286,3640,757,4397,,,,"0,00","0,00",,,"1,64%"
New York City,Queens County,474344,6903,4858,11761,292,70,"207,38","3,02","2,12",98.61428571428571,"40,28","1,34%"
New York City,Kings County,311455,4903,2244,7147,407,54,"120,25","1,89","0,87",90.79629629629629,"17,56","1,31%"
Long Island,Suffolk County,709023,10444,9087,19531,308,196,"479,83","7,07","6,15",53.285714285714285,"63,41","1,19%"
Mid-Hudson,Rockland County,127882,2053,955,3008,87,30,"394,18","6,33","2,94",68.43333333333334,"34,57","1,15%"
New York City,Richmond County,169198,2039,965,3004,77,16,"356,29","4,29","2,03",127.4375,"39,01","1,01%"
Capital Region,Albany County,125280,1458,1662,3120,830,40,"435,36","5,07","5,78",36.449999999999974,"3,76","0,84%"
Mid-Hudson,Ulster County,91025,1259,1007,2266,240,22,"484,91","6,71","5,36",57.22727272727261,"9,44","0,82%"
Capital Region,Schenectady County,79064,665,707,1372,333,15,"457,36","3,85","4,09",44.333333333333336,"4,12","0,71%"
Mid-Hudson,Dutchess County,140266,1696,1173,2869,160,37,"473,36","5,72","3,96",45.83783783783785,"17,93","0,68%"
Mid-Hudson,Putnam County,53174,646,416,1062,12,9,"534,90","6,50","4,18",71.77777777777777,"88,50","0,66%"
Capital Region,Warren County,37517,227,301,528,199,20,"587,78","3,56","4,72",11.35,"2,65","0,66%"
Finger Lakes,Monroe County,312515,3476,3338,6814,511,6,"420,38","4,68","4,49",579.3333333333338,"13,33","0,66%"
Capital Region,Columbia County,30806,377,321,698,71,8,"530,28","6,49","5,53",47.12499999999998,"9,83","0,60%"
Southern Tier,Broome County,78588,418,721,1139,70,25,"398,30","2,12","3,65",16.72,"16,27","0,60%"
New York City,Bronx County,158998,1134,574,1708,73,12,"110,51","0,79","0,40",94.5,"23,40","0,57%"
North Country,Essex County,21035,134,153,287,108,16,"577,85","3,68","4,20",8.375,"2,66","0,55%"
Capital Region,Greene County,25470,163,185,348,40,5,"527,81","3,38","3,83",32.60000000000001,"8,70","0,55%"
Central New York,Onondaga County,204412,1335,1817,3152,361,43,"445,70","2,91","3,96",31.046511627906924,"8,73","0,54%"
Capital Region,Saratoga County,125344,1188,1339,2527,434,16,"561,24","5,32","6,00",74.25000000000011,"5,82","0,52%"
Southern Tier,Schuyler County,9807,48,72,120,17,,"545,50","2,67","4,00",,"7,06","0,48%"
Mid-Hudson,Orange County,166154,1624,1027,2651,111,39,"448,80","4,39","2,77",41.64102564102553,"23,88","0,48%"
Finger Lakes,Ontario County,57367,513,504,1017,58,14,"529,37","4,73","4,65",36.642857142857146,"17,53","0,48%"
Finger Lakes,Yates County,11564,50,76,126,11,0,"445,73","1,93","2,93",,"11,45","0,47%"
Mid-Hudson,Sullivan County,36800,235,199,434,37,11,"482,93","3,08","2,61",21.363636363636363,"11,73","0,45%"
Southern Tier,Chemung County,35780,138,214,352,21,2,"431,92","1,67","2,58",69,"16,76","0,44%"
Mohawk Valley,Oneida County,101441,424,660,1084,139,22,"437,84","1,83","2,85",19.272727272727273,"7,80","0,42%"
Western New York,Erie County,402670,2850,2935,5785,425,36,"436,35","3,09","3,18",79.16666666666667,"13,61","0,40%"
North Country,Clinton County,40824,172,239,411,71,12,"509,86","2,15","2,98",14.333333333333334,"5,79","0,40%"
Mohawk Valley,Otsego County,28278,124,201,325,25,14,"479,47","2,10","3,41",8.857142857142858,"13,00","0,37%"
Southern Tier,Tioga County,24578,74,134,208,5,,"497,55","1,50","2,71",,"41,60","0,37%"
Capital Region,Rensselaer County,74007,485,601,1086,189,14,"462,86","3,03","3,76",34.64285714285726,"5,75","0,36%"
Central New York,Madison County,39189,173,301,474,86,0,"500,21","2,21","3,84",,"5,51","0,35%"
North Country,Jefferson County,55841,144,248,392,15,12,"488,94","1,26","2,17",12,"26,13","0,34%"
North Country,St. Lawrence County,53582,133,258,391,46,5,"485,12","1,20","2,34",26.6,"8,50","0,33%"
Finger Lakes,Genesee County,29913,86,172,258,29,16,"517,38","1,49","2,97",5.375,"8,90","0,32%"
Western New York,Niagara County,99168,409,611,1020,26,8,"471,05","1,94","2,90",51.125000000000036,"39,23","0,31%"
Southern Tier,Steuben County,45813,140,231,371,35,14,"484,09","1,48","2,44",10,"10,60","0,31%"
Southern Tier,Delaware County,22362,72,116,188,18,16,"537,12","1,73","2,79",4.5,"10,44","0,31%"
Central New York,Oswego County,62101,178,271,449,25,10,"514,35","1,47","2,24",17.8,"17,96","0,27%"
Mohawk Valley,Montgomery County,27205,75,100,175,20,4,"483,91","1,33","1,78",18.75,"8,75","0,27%"
Western New York,Chautauqua County,59219,173,283,456,30,23,"454,97","1,33","2,17",7.521739130434782,"15,20","0,26%"
Finger Lakes,Seneca County,14304,43,59,102,6,12,"449,91","1,35","1,86",3.5833333333333335,"17,00","0,25%"
North Country,Hamilton County,3092,7,20,27,12,,"935,84","2,12","6,05",,"2,25","0,25%"
Finger Lakes,Wayne County,50474,226,252,478,50,1,"533,78","2,39","2,67",226.0000000000001,"9,56","0,22%"
Central New York,Cortland County,21019,91,135,226,15,12,"438,22","1,90","2,81",7.58333333333334,"15,07","0,21%"
North Country,Franklin County,24284,66,113,179,61,3,"488,23","1,33","2,27",22,"2,93","0,21%"
Mohawk Valley,Schoharie County,16575,57,88,145,10,,"539,34","1,85","2,86",,"14,50","0,21%"
Finger Lakes,Orleans County,18894,59,68,127,12,,"473,19","1,48","1,70",,"10,58","0,21%"
Mohawk Valley,Fulton County,24867,71,125,196,31,,"503,18","1,44","2,53",,"6,32","0,20%"
Capital Region,Washington County,34390,96,178,274,14,4,"532,41","1,49","2,76",24,"19,57","0,19%"
Finger Lakes,Livingston County,31546,127,155,282,59,2,"488,42","1,97","2,40",63.50000000000003,"4,78","0,19%"
Mohawk Valley,Herkimer County,28790,80,96,176,26,8,"484,03","1,34","1,61",10,"6,77","0,18%"
Central New York,Cayuga County,36079,111,172,283,21,,"479,24","1,47","2,28",,"13,48","0,18%"
Southern Tier,Chenango County,24338,54,103,157,6,,"498,17","1,11","2,11",,"26,17","0,18%"
Western New York,Cattaraugus County,36160,55,97,152,18,12,"494,67","0,75","1,33",4.583333333333333,"8,44","0,15%"
North Country,Lewis County,15936,18,34,52,6,,"631,10","0,71","1,35",,"8,67","0,14%"
Western New York,Allegany County,20880,37,72,109,7,1,"454,62","0,81","1,57",37,"15,57","0,13%"
Finger Lakes,Wyoming County,21215,40,60,100,8,,"525,29","0,99","1,49",,"12,50","0,08%"
,,,,,,6,0,,"0,00","0,00",,,
Unknown,Unknown,208,1,1,2,,,,"0,00","0,00",,,
