Name,Measure,Measure Info,Geo Type Name,Geo Place Name,Data Value,Stations,Final Date
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Queens,1.6,Annual,2011
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Bronx,2.8,Annual,2005
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Brooklyn,2.8,Annual,2005
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Manhattan,4.7,Annual,2005
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Queens,1.9,Annual,2005
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Staten Island,1.6,Annual,2005
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Bronx,1.1,Annual,2011
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Brooklyn,1.7,Annual,2011
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Citywide,New York City,1.6,Annual,2011
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Staten Island,1.2,Annual,2011
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Citywide,New York City,2.9,Annual,2005
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Manhattan,2.1,Annual,2011
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Manhattan,2.4,Annual,2011
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Citywide,New York City,3.2,Annual,2005
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Brooklyn,2.2,Annual,2011
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Citywide,New York City,2.1,Annual,2011
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Staten Island,1.8,Annual,2011
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Queens,2.1,Annual,2011
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Bronx,3.3,Annual,2005
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Brooklyn,3.0,Annual,2005
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Manhattan,4.3,Annual,2005
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Queens,2.7,Annual,2005
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Staten Island,2.3,Annual,2005
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Bronx,2.0,Annual,2011
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Staten Island,2.7,Annual,2013
Boiler Emissions- Total NOx Emissions,Number per km2,number,Citywide,New York City,29.4,Annual,2013
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Manhattan,161.1,Annual,2013
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Brooklyn,22.8,Annual,2013
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Bronx,42.7,Annual,2013
Boiler Emissions- Total NOx Emissions,Number per km2,number,Citywide,New York City,27.4,Annual,2015
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Staten Island,2.7,Annual,2015
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Queens,15.6,Annual,2015
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Bronx,39.5,Annual,2015
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Brooklyn,22.8,Annual,2015
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Manhattan,142.8,Annual,2015
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Queens,16.1,Annual,2013
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Bronx,0.9,Annual,2015
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Queens,0.2,Annual,2015
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Staten Island,0.0,Annual,2015
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Brooklyn,0.1,Annual,2015
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Citywide,New York City,0.5,Annual,2015
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Manhattan,3.7,Annual,2015
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Brooklyn,0.1,Annual,2013
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Staten Island,0.0,Annual,2013
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Queens,0.3,Annual,2013
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Manhattan,5.9,Annual,2013
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Bronx,1.2,Annual,2013
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Citywide,New York City,0.7,Annual,2013
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Queens,1.4,Annual,2015
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Staten Island,0.1,Annual,2015
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Staten Island,0.1,Annual,2013
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Manhattan,50.6,Annual,2013
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Queens,2.2,Annual,2013
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Bronx,10.3,Annual,2013
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Citywide,New York City,6.1,Annual,2013
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Manhattan,26.8,Annual,2015
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Citywide,New York City,3.5,Annual,2015
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Brooklyn,0.7,Annual,2015
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Bronx,6.3,Annual,2015
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Brooklyn,0.8,Annual,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,10.5,Annual,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,10.27,Summer,2013
