day,trips
2021-01-01 00:00:00.000000 UTC,25480
2021-01-02 00:00:00.000000 UTC,35553
2021-01-03 00:00:00.000000 UTC,27210
2021-01-04 00:00:00.000000 UTC,47633
2021-01-05 00:00:00.000000 UTC,50289
2021-01-06 00:00:00.000000 UTC,52781
2021-01-07 00:00:00.000000 UTC,53768
2021-01-08 00:00:00.000000 UTC,53194
2021-01-09 00:00:00.000000 UTC,41111
2021-01-10 00:00:00.000000 UTC,30771
2021-01-11 00:00:00.000000 UTC,49961
2021-01-12 00:00:00.000000 UTC,53466
2021-01-13 00:00:00.000000 UTC,54986
2021-01-14 00:00:00.000000 UTC,56632
2021-01-15 00:00:00.000000 UTC,55914
2021-01-16 00:00:00.000000 UTC,39852
2021-01-17 00:00:00.000000 UTC,32886
2021-01-18 00:00:00.000000 UTC,38528
2021-01-19 00:00:00.000000 UTC,54610
2021-01-20 00:00:00.000000 UTC,52866
2021-01-21 00:00:00.000000 UTC,56475
2021-01-22 00:00:00.000000 UTC,57408
2021-01-23 00:00:00.000000 UTC,43187
2021-01-24 00:00:00.000000 UTC,31903
2021-01-25 00:00:00.000000 UTC,50503
2021-01-26 00:00:00.000000 UTC,50641
2021-01-27 00:00:00.000000 UTC,56000
2021-01-28 00:00:00.000000 UTC,59681
2021-01-29 00:00:00.000000 UTC,57930
2021-01-30 00:00:00.000000 UTC,40306
2021-01-31 00:00:00.000000 UTC,32112
2021-02-01 00:00:00.000000 UTC,7013
2021-02-02 00:00:00.000000 UTC,29801
2021-02-03 00:00:00.000000 UTC,57289
2021-02-04 00:00:00.000000 UTC,63196
2021-02-05 00:00:00.000000 UTC,60698
2021-02-06 00:00:00.000000 UTC,51185
2021-02-07 00:00:00.000000 UTC,28044
2021-02-08 00:00:00.000000 UTC,54241
2021-02-09 00:00:00.000000 UTC,55476
2021-02-10 00:00:00.000000 UTC,61611
2021-02-11 00:00:00.000000 UTC,61914
2021-02-12 00:00:00.000000 UTC,66970
2021-02-13 00:00:00.000000 UTC,49605
2021-02-14 00:00:00.000000 UTC,40473
2021-02-15 00:00:00.000000 UTC,41428
2021-02-16 00:00:00.000000 UTC,54246
2021-02-17 00:00:00.000000 UTC,63492
2021-02-18 00:00:00.000000 UTC,39225
2021-02-19 00:00:00.000000 UTC,54592
2021-02-20 00:00:00.000000 UTC,52424
2021-02-21 00:00:00.000000 UTC,38005
2021-02-22 00:00:00.000000 UTC,54140
2021-02-23 00:00:00.000000 UTC,60268
2021-02-24 00:00:00.000000 UTC,63986
2021-02-25 00:00:00.000000 UTC,65752
2021-02-26 00:00:00.000000 UTC,68785
2021-02-27 00:00:00.000000 UTC,50150
2021-02-28 00:00:00.000000 UTC,38560
2021-03-01 00:00:00.000000 UTC,58385
2021-03-02 00:00:00.000000 UTC,65142
2021-03-03 00:00:00.000000 UTC,66931
2021-03-04 00:00:00.000000 UTC,70723
2021-03-05 00:00:00.000000 UTC,72978
2021-03-06 00:00:00.000000 UTC,56310
2021-03-07 00:00:00.000000 UTC,39939
2021-03-08 00:00:00.000000 UTC,59862
2021-03-09 00:00:00.000000 UTC,65393
2021-03-10 00:00:00.000000 UTC,68168
2021-03-11 00:00:00.000000 UTC,71686
2021-03-12 00:00:00.000000 UTC,75076
2021-03-13 00:00:00.000000 UTC,62013
2021-03-14 00:00:00.000000 UTC,44903
2021-03-15 00:00:00.000000 UTC,64710
2021-03-16 00:00:00.000000 UTC,68325
2021-03-17 00:00:00.000000 UTC,74903
2021-03-18 00:00:00.000000 UTC,75297
2021-03-19 00:00:00.000000 UTC,77734
2021-03-20 00:00:00.000000 UTC,62842
2021-03-21 00:00:00.000000 UTC,46120
2021-03-22 00:00:00.000000 UTC,63275
2021-03-23 00:00:00.000000 UTC,66698
2021-03-24 00:00:00.000000 UTC,72223
2021-03-25 00:00:00.000000 UTC,73409
2021-03-26 00:00:00.000000 UTC,76999
2021-03-27 00:00:00.000000 UTC,68934
2021-03-28 00:00:00.000000 UTC,41317
2021-03-29 00:00:00.000000 UTC,61411
2021-03-30 00:00:00.000000 UTC,70116
2021-03-31 00:00:00.000000 UTC,71020
2021-04-01 00:00:00.000000 UTC,76339
2021-04-02 00:00:00.000000 UTC,75439
2021-04-03 00:00:00.000000 UTC,63052
2021-04-04 00:00:00.000000 UTC,47407
2021-04-05 00:00:00.000000 UTC,66353
2021-04-06 00:00:00.000000 UTC,73996
2021-04-07 00:00:00.000000 UTC,78600
2021-04-08 00:00:00.000000 UTC,81573
2021-04-09 00:00:00.000000 UTC,82601
2021-04-10 00:00:00.000000 UTC,70010
2021-04-11 00:00:00.000000 UTC,48508
2021-04-12 00:00:00.000000 UTC,74097
2021-04-13 00:00:00.000000 UTC,77794
2021-04-14 00:00:00.000000 UTC,81298
2021-04-15 00:00:00.000000 UTC,84757
2021-04-16 00:00:00.000000 UTC,86313
2021-04-17 00:00:00.000000 UTC,75550
2021-04-18 00:00:00.000000 UTC,55238
2021-04-19 00:00:00.000000 UTC,71315
2021-04-20 00:00:00.000000 UTC,82536
2021-04-21 00:00:00.000000 UTC,83283
2021-04-22 00:00:00.000000 UTC,87855
2021-04-23 00:00:00.000000 UTC,88375
2021-04-24 00:00:00.000000 UTC,80561
2021-04-25 00:00:00.000000 UTC,50356
2021-04-26 00:00:00.000000 UTC,73989
2021-04-27 00:00:00.000000 UTC,80182
2021-04-28 00:00:00.000000 UTC,87588
2021-04-29 00:00:00.000000 UTC,86213
2021-04-30 00:00:00.000000 UTC,92754
2021-05-01 00:00:00.000000 UTC,82323
2021-05-02 00:00:00.000000 UTC,62236
2021-05-03 00:00:00.000000 UTC,79258
2021-05-04 00:00:00.000000 UTC,84438
2021-05-05 00:00:00.000000 UTC,90791
2021-05-06 00:00:00.000000 UTC,92478
2021-05-07 00:00:00.000000 UTC,96080
2021-05-08 00:00:00.000000 UTC,81693
2021-05-09 00:00:00.000000 UTC,66169
2021-05-10 00:00:00.000000 UTC,77568
2021-05-11 00:00:00.000000 UTC,86516
2021-05-12 00:00:00.000000 UTC,90264
2021-05-13 00:00:00.000000 UTC,84379
2021-05-14 00:00:00.000000 UTC,95615
2021-05-15 00:00:00.000000 UTC,90693
2021-05-16 00:00:00.000000 UTC,67729
2021-05-17 00:00:00.000000 UTC,76736
2021-05-18 00:00:00.000000 UTC,87275
2021-05-19 00:00:00.000000 UTC,93424
2021-05-20 00:00:00.000000 UTC,95434
2021-05-21 00:00:00.000000 UTC,97334
2021-05-22 00:00:00.000000 UTC,94994
2021-05-23 00:00:00.000000 UTC,72878
2021-05-24 00:00:00.000000 UTC,83648
2021-05-25 00:00:00.000000 UTC,90925
2021-05-26 00:00:00.000000 UTC,96016
2021-05-27 00:00:00.000000 UTC,94966
2021-05-28 00:00:00.000000 UTC,90386
2021-05-29 00:00:00.000000 UTC,66302
2021-05-30 00:00:00.000000 UTC,55352
2021-05-31 00:00:00.000000 UTC,57952
2021-06-01 00:00:00.000000 UTC,88209
2021-06-02 00:00:00.000000 UTC,94822
